DOI,Citations
https://doi.org/10.1109/SC.2016.25,15
https://doi.org/10.1109/SC.2016.60,36
https://doi.org/10.1109/SC.2016.31,9
https://doi.org/10.1109/SC.2016.24,12
https://doi.org/10.1109/SC.2016.78,46
https://doi.org/10.1109/SC.2016.43,1
https://doi.org/10.1109/SC.2016.54,40
https://doi.org/10.1109/SC.2016.46,52
https://doi.org/10.1109/SC.2016.26,11
https://doi.org/10.1109/SC.2016.7,2
https://doi.org/10.1109/SC.2016.22,9
https://doi.org/10.1109/SC.2016.56,2
https://doi.org/10.1109/SC.2016.66,1
https://doi.org/10.1109/SC.2016.67,7
https://doi.org/10.1109/SC.2016.33,14
https://doi.org/10.1109/SC.2016.12,6
https://doi.org/10.1109/SC.2016.41,4
https://doi.org/10.1109/SC.2016.17,4
https://doi.org/10.1109/SC.2016.88,12
https://doi.org/10.1109/SC.2016.82,24
https://doi.org/10.1109/SC.2016.44,16
https://doi.org/10.1109/SC.2016.51,17
https://doi.org/10.1109/SC.2016.73,20
https://doi.org/10.1109/SC.2016.83,57
https://doi.org/10.1109/SC.2016.10,1
https://doi.org/10.1109/SC.2016.6,22
https://doi.org/10.1109/SC.2016.75,2
https://doi.org/10.1109/SC.2016.58,12
https://doi.org/10.1109/SC.2016.45,9
https://doi.org/10.1109/SC.2016.13,35
https://doi.org/10.1109/SC.2016.16,5
https://doi.org/10.1109/SC.2016.64,27
https://doi.org/10.1109/SC.2016.15,12
https://doi.org/10.1109/SC.2016.65,1
https://doi.org/10.1109/SC.2016.50,6
https://doi.org/10.1109/SC.2016.38,6
https://doi.org/10.1109/SC.2016.70,25
https://doi.org/10.1109/SC.2016.18,3
https://doi.org/10.1109/SC.2016.23,14
https://doi.org/10.1109/SC.2016.79,4
https://doi.org/10.1109/SC.2016.35,4
https://doi.org/10.1109/SC.2016.77,6
https://doi.org/10.1109/SC.2016.27,1
https://doi.org/10.1109/SC.2016.36,7
https://doi.org/10.1109/SC.2016.20,58
https://doi.org/10.1109/SC.2016.53,42
https://doi.org/10.1109/SC.2016.76,15
https://doi.org/10.1109/SC.2016.69,24
https://doi.org/10.1109/SC.2016.19,17
https://doi.org/10.1109/SC.2016.49,43
https://doi.org/10.1109/SC.2016.59,23
https://doi.org/10.1109/SC.2016.71,9
https://doi.org/10.1109/SC.2016.62,9
https://doi.org/10.1109/SC.2016.21,0
https://doi.org/10.1109/SC.2016.48,4
https://doi.org/10.1109/SC.2016.57,53
https://doi.org/10.1109/SC.2016.32,14
https://doi.org/10.1109/SC.2016.61,7
https://doi.org/10.1109/SC.2016.2,9
https://doi.org/10.1109/SC.2016.80,5
https://doi.org/10.1109/SC.2016.28,8
https://doi.org/10.1109/SC.2016.8,1
https://doi.org/10.1109/SC.2016.4,21
https://doi.org/10.1109/SC.2016.39,8
https://doi.org/10.1109/SC.2016.37,36
https://doi.org/10.1109/SC.2016.81,31
https://doi.org/10.1109/SC.2016.29,12
https://doi.org/10.1109/SC.2016.11,38
https://doi.org/10.1109/SC.2016.47,23
https://doi.org/10.1109/SC.2016.84,16
https://doi.org/10.1109/SC.2016.30,16
https://doi.org/10.1109/SC.2016.74,11
https://doi.org/10.1109/SC.2016.42,3
https://doi.org/10.1109/SC.2016.40,13
https://doi.org/10.1109/SC.2016.1,27
https://doi.org/10.1109/SC.2016.52,11
https://doi.org/10.1109/SC.2016.55,18
https://doi.org/10.1109/SC.2016.85,21
https://doi.org/10.1109/SC.2016.68,45
https://doi.org/10.1109/SC.2016.14,30
https://doi.org/10.1109/SC.2016.9,9
https://doi.org/10.1109/SC.2016.63,46
https://doi.org/10.1109/SC.2016.5,56
https://doi.org/10.1109/SC.2016.3,28
https://doi.org/10.1109/SC.2016.86,8
https://doi.org/10.1109/SC.2016.72,10
https://doi.org/10.1109/SC.2016.34,74
