DOI,aa,af,ar
https://doi.org/10.1109/SC41404.2022.00031,1,1,1
https://doi.org/10.1109/SC41404.2022.00051,0,0,0
https://doi.org/10.1109/SC41404.2022.00046,0,0,0
https://doi.org/10.1109/SC41404.2022.00012,1,1,0
https://doi.org/10.1109/SC41404.2022.00014,0,0,0
https://doi.org/10.1109/SC41404.2022.00034,1,1,1
https://doi.org/10.1109/SC41404.2022.00078,1,1,1
https://doi.org/10.1109/SC41404.2022.00048,1,1,1
https://doi.org/10.1109/SC41404.2022.00092,1,0,0
https://doi.org/10.1109/SC41404.2022.00085,0,0,0
https://doi.org/10.1109/SC41404.2022.00007,0,0,0
https://doi.org/10.1109/SC41404.2022.00055,1,1,1
https://doi.org/10.1109/SC41404.2022.00050,1,0,0
https://doi.org/10.1109/SC41404.2022.00089,0,0,0
https://doi.org/10.1109/SC41404.2022.00060,1,0,0
https://doi.org/10.1109/SC41404.2022.00037,1,1,1
https://doi.org/10.1109/SC41404.2022.00029,1,0,0
https://doi.org/10.1109/SC41404.2022.00071,1,0,0
https://doi.org/10.1109/SC41404.2022.00008,0,0,0
https://doi.org/10.1109/SC41404.2022.00032,0,0,0
https://doi.org/10.1109/SC41404.2022.00080,1,1,1
https://doi.org/10.1109/SC41404.2022.00047,1,1,1
https://doi.org/10.1109/SC41404.2022.00074,0,0,0
https://doi.org/10.1109/SC41404.2022.00040,1,1,1
https://doi.org/10.1109/SC41404.2022.00015,1,1,1
https://doi.org/10.1109/SC41404.2022.00077,1,1,1
https://doi.org/10.1109/SC41404.2022.00016,1,1,1
https://doi.org/10.1109/SC41404.2022.00010,0,0,0
https://doi.org/10.1109/SC41404.2022.00033,1,1,1
https://doi.org/10.1109/SC41404.2022.00022,1,1,1
https://doi.org/10.1109/SC41404.2022.00009,0,0,0
https://doi.org/10.1109/SC41404.2022.00021,1,1,1
https://doi.org/10.1109/SC41404.2022.00035,0,0,0
https://doi.org/10.1109/SC41404.2022.00068,1,1,0
https://doi.org/10.1109/SC41404.2022.00057,1,1,1
https://doi.org/10.1109/SC41404.2022.00066,1,1,0
https://doi.org/10.1109/SC41404.2022.00025,1,1,1
https://doi.org/10.1109/SC41404.2022.00011,0,0,0
https://doi.org/10.1109/SC41404.2022.00049,1,1,1
https://doi.org/10.1109/SC41404.2022.00038,1,1,1
https://doi.org/10.1109/SC41404.2022.00017,1,1,0
https://doi.org/10.1109/SC41404.2022.00056,1,1,1
https://doi.org/10.1109/SC41404.2022.00091,0,0,0
https://doi.org/10.1109/SC41404.2022.00090,0,0,0
https://doi.org/10.1109/SC41404.2022.00042,1,1,1
https://doi.org/10.1109/SC41404.2022.00081,0,0,0
https://doi.org/10.1109/SC41404.2022.00067,1,1,1
https://doi.org/10.1109/SC41404.2022.00028,1,0,0
https://doi.org/10.1109/SC41404.2022.00083,0,0,0
https://doi.org/10.1109/SC41404.2022.00088,1,1,1
https://doi.org/10.1109/SC41404.2022.00062,1,0,0
https://doi.org/10.1109/SC41404.2022.00079,0,0,0
https://doi.org/10.1109/SC41404.2022.00065,1,1,0
https://doi.org/10.1109/SC41404.2022.00052,1,1,1
https://doi.org/10.1109/SC41404.2022.00036,1,1,1
https://doi.org/10.1109/SC41404.2022.00084,0,0,0
https://doi.org/10.1109/SC41404.2022.00072,1,1,0
https://doi.org/10.1109/SC41404.2022.00020,1,0,0
https://doi.org/10.1109/SC41404.2022.00073,1,1,1
https://doi.org/10.1109/SC41404.2022.00045,1,1,1
https://doi.org/10.1109/SC41404.2022.00061,0,0,0
https://doi.org/10.1109/SC41404.2022.00026,1,1,0
https://doi.org/10.1109/SC41404.2022.00027,1,0,0
https://doi.org/10.1109/SC41404.2022.00069,0,0,0
https://doi.org/10.1109/SC41404.2022.00063,1,1,1
https://doi.org/10.1109/SC41404.2022.00006,0,0,0
https://doi.org/10.1109/SC41404.2022.00019,0,0,0
https://doi.org/10.1109/SC41404.2022.00070,1,1,0
https://doi.org/10.1109/SC41404.2022.00044,1,1,1
https://doi.org/10.1109/SC41404.2022.00076,1,1,1
https://doi.org/10.1109/SC41404.2022.00024,0,0,0
https://doi.org/10.1109/SC41404.2022.00013,1,0,0
https://doi.org/10.1109/SC41404.2022.00075,1,1,1
https://doi.org/10.1109/SC41404.2022.00043,1,1,1
https://doi.org/10.1109/SC41404.2022.00058,1,1,0
https://doi.org/10.1109/SC41404.2022.00018,1,0,0
https://doi.org/10.1109/SC41404.2022.00087,1,1,1
https://doi.org/10.1109/SC41404.2022.00064,1,0,0
https://doi.org/10.1109/SC41404.2022.00059,0,0,0
https://doi.org/10.1109/SC41404.2022.00041,1,1,1
https://doi.org/10.1109/SC41404.2022.00039,1,1,0
https://doi.org/10.1109/SC41404.2022.00082,1,0,0
https://doi.org/10.1109/SC41404.2022.00023,1,1,0
https://doi.org/10.1109/SC41404.2022.00086,1,1,0
https://doi.org/10.1109/SC41404.2022.00054,1,1,1
https://doi.org/10.1109/SC41404.2022.00053,1,1,1
https://doi.org/10.1109/SC41404.2022.00030,1,1,0
